Lunar Terrain Model
Lat: 31.5927 deg;Lng: 29.1079 deg;Elev: -2547 m;Azimuth: -87.00 deg
Distance in meters;Elevation in meters
-0.000000;0.000000
-30.480000;-0.309549
-60.960000;-0.700730
-91.440000;-1.002044
-121.920000;-1.114613
-152.400000;-1.205241
-182.880000;-0.581130
-213.360000;0.026522
-243.840000;0.617718
-274.320000;1.192464
-304.800000;1.865000
-335.280000;2.743175
-365.760000;3.611429
-396.240000;4.060076
-426.720000;4.508719
-457.200000;4.957359
-487.680000;5.405996
-518.160000;5.854629
-548.640000;6.303259
-579.120000;6.753060
-609.600000;7.223576
-640.080000;7.677687
-670.560000;8.111270
-701.040000;8.540797
-731.520000;8.974371
-762.000000;9.425810
-792.480000;9.913988
-822.960000;10.756511
-853.440000;11.582653
-883.920000;12.117971
-914.400000;12.547502
-944.880000;13.147962
-975.360000;14.007025
-1005.840000;14.866089
-1036.320000;15.725155
-1066.800000;16.584221
-1097.280000;17.443288
-1127.760000;18.302356
-1158.240000;19.287323
-1188.720000;20.439228
-1219.200000;21.501335
-1249.680000;21.761501
-1280.160000;22.005342
-1310.640000;22.484304
-1341.120000;23.056168
-1371.600000;23.934920
-1402.080000;25.204541
-1432.560000;26.410562
-1463.040000;27.043047
-1493.520000;27.659230
-1524.000000;27.780238
-1554.480000;27.787828
-1584.960000;27.806104
-1615.440000;27.806104
-1645.920000;27.806104
-1676.400000;27.806104
-1706.880000;27.806104
-1737.360000;28.366016
-1767.840000;29.090227
-1798.320000;29.557477
-1828.800000;29.697693
-1859.280000;29.920281
-1889.760000;30.779373
-1920.240000;31.638466
-1950.720000;32.768835
-1981.200000;33.979642
-2011.680000;35.243058
-2042.160000;36.550615
-2072.640000;37.858169
-2103.120000;39.165721
-2133.600000;40.473270
-2164.080000;41.457510
-2194.560000;42.356380
-2225.040000;43.431552
-2255.520000;44.712892
-2286.000000;46.010980
-2316.480000;47.318514
-2346.960000;48.626046
-2377.440000;49.933575
-2407.920000;51.241102
-2438.400000;52.330080
-2468.880000;53.208046
-2499.360000;54.163667
-2529.840000;55.471184
-2560.320000;56.778698
-2590.800000;58.086209
-2621.280000;59.393719
-2651.760000;60.525108
-2682.240000;61.509371
-2712.720000;62.572678
-2743.200000;63.898998
-2773.680000;65.225311
-2804.160000;66.178378
-2834.640000;67.075117
-2865.120000;67.820933
-2895.600000;68.451107
-2926.080000;69.117895
-2956.560000;69.856891
-2987.040000;70.579734
-3017.520000;71.455408
-3048.000000;72.352098
-3078.480000;73.248782
-3108.960000;74.145459
-3139.440000;75.045983
-3169.920000;75.979281
-3200.400000;76.944809
-3230.880000;77.778356
-3261.360000;78.641431
-3291.840000;79.648030
-3322.320000;80.761120
-3352.800000;82.264416
-3383.280000;84.860822
-3413.760000;87.425006
-3444.240000;90.235641
-3474.720000;93.054565
-3505.200000;95.727965
-3535.680000;98.320729
-3566.160000;100.954062
-3596.640000;103.662470
-3627.120000;106.370852
-3657.600000;109.881461
-3688.080000;113.448942
-3718.560000;117.016400
-3749.040000;120.583834
-3779.520000;124.161655
-3810.000000;127.756235
-3840.480000;131.334744
-3870.960000;135.292630
-3901.440000;139.270851
-3931.920000;143.249053
-3962.400000;147.227236
-3992.880000;151.205399
-4023.360000;155.183543
-4053.840000;159.161667
-4084.320000;163.181071
-4114.800000;167.217635
-4145.280000;171.232672
-4175.760000;175.229354
-4206.240000;178.958944
-4236.720000;182.096414
-4267.200000;185.233859
-4297.680000;189.118770
-4328.160000;193.000722
-4358.640000;198.349101
-4389.120000;204.474937
-4419.600000;210.784173
-4450.080000;217.480899
-4480.560000;224.193585
-4511.040000;231.196983
-4541.520000;238.200496
-4572.000000;245.203989
-4602.480000;252.207462
-4632.960000;259.063179
-4663.440000;265.637023
-4693.920000;272.172623
-4724.400000;276.379571
-4754.880000;280.602442
-4785.360000;284.841232
-4815.840000;289.095935
-4846.320000;294.895312
-4876.800000;303.400780
-4907.280000;311.850979
-4937.760000;319.139366
-4968.240000;326.443651
-4998.720000;333.262017
-5029.200000;339.872663
-5059.680000;345.997195
